sku,quantity,price
1308113,,4.15
1498186,,16.57
2229301,,8.59
3304880,,3.71
3439118,,3.76
3597740,0,
3598460,0,
3598921,0,
3600853,0,
3600920,0,
3602161,0,
3602208,0,
3602457,0,
3602899,0,
3603015,0,
3603906,0,
3604084,0,
3605064,0,
3605284,0,
3606284,0,
3606700,0,
3607090,0,
3607509,0,
3608643,0,
3609819,0,
3679445,,3.83
3725826,,5.81
3779976,,10.18
3846438,,7.46
3874926,,4.15
4025847,,3.99
4137982,,3.78
4307144,,4.21
4333087,,4.23
4353086,,3.71
4353129,,5.04
4368717,,3.66
4396746,,13.31
728123,,3.70
742747,,6.28
