sku,quantity,price
1014267,0,
1035126,0,
1041847,0,
1044085,0,
1098768,0,
1211754,0,
1235538,0,
1251224,0,
1283076,0,
1338630,0,
1375477,0,
1394069,,4.24
1466312,0,
1510054,0,
1563050,0,
1715724,6,
1723065,3,23.80
1931666,0,
2048474,0,
2052596,0,
2152320,0,
2303654,8,
2530541,2,3.49
3036847,,11.87
3148874,,3.49
3578071,,3.80
3654624,2,
3706322,,3.60
3971858,,16.29
4031110,,6.00
4035360,,30.22
4074933,,12.91
4222403,,3.62
4310973,,3.98
4321952,,18.70
4335176,,5.29
4337384,,8.64
773584,,9.83
916558,0,
928650,0,
