sku,quantity,price
1044307,0,
1140474,,16.51
1664581,,9.84
1792839,,8.21
2140397,0,
2185709,,4.17
2239855,0,
2253525,0,
2439121,0,
2441279,0,
2496249,,12.09
3251926,0,
3282749,0,
3390817,0,
3443952,0,
3457490,0,
3577795,0,
3656486,,8.06
3680884,,5.87
3738801,0,
3750515,,7.17
3826775,0,
3941475,,4.08
3960497,,3.49
4009347,0,
4089389,,36.04
4141566,,10.15
4144527,,6.62
4218857,,42.28
4219562,0,
4221825,,7.33
4225547,0,
4234016,0,
4244754,,5.58
4303907,,11.91
4308852,0,
857864,,11.85
863178,,4.07
874425,0,
929915,,3.49
