sku,quantity,price
1226692,,3.49
1241425,,4.90
1627221,,38.69
1627400,,9.16
2386844,0,
2386922,0,
2387652,0,
2388691,0,
2388802,0,
2389684,0,
2394935,0,
2399313,0,
2399397,0,
2399867,0,
2402838,0,
2404460,0,
2409437,0,
2410822,0,
2411273,0,
2411818,0,
2415021,0,
2418006,0,
2422453,0,
2425204,0,
3258061,,4.24
3527907,,3.49
3535165,,15.15
3544718,,18.69
3722225,,4.16
4004626,,3.49
4152733,,3.49
4160460,,10.91
4160602,,7.78
4262699,,10.77
4326566,,5.06
4375345,,11.45
718310,,24.23
723941,,4.17
877386,,3.49
882692,,3.49
