sku,quantity,price
1008451,,3.49
1266290,,4.77
1329782,0,
1433671,0,
1467069,0,
1499341,0,
1504287,,4.98
1558548,0,
1633395,0,
1760508,0,
1797612,0,
1801029,0,
1823374,0,
1823630,,11.34
1908992,0,
1952207,0,
2333125,1,
2402185,,4.00
2754438,0,
2860405,0,
2882447,0,
2920757,,4.24
2924411,0,
2933724,0,
2937435,0,
3011194,0,
3013660,0,
3065529,,7.69
3286370,,3.68
3481869,,5.28
3512103,,9.22
3716855,5,
3916728,,4.17
3976247,,8.31
4253067,,8.75
4335292,,6.42
4338632,,9.29
4339106,,3.81
684674,,5.07
927242,,3.92
