sku,quantity,price
1346562,,3.49
1634516,0,
1768410,,68.70
1849307,,18.69
2281986,0,
2308892,0,
2397078,,5.22
2953437,,10.15
3627719,,3.49
3632734,,10.79
3782072,,5.19
3894404,,3.49
3980745,0,
4010365,,8.36
4010728,,8.18
4017470,,3.49
4118936,0,
4207191,,4.22
4310223,,9.18
4312341,,7.61
4320955,0,
4321057,0,
4321564,0,
4323594,0,
4323743,0,
4325936,0,
4326235,0,
4326276,0,
4326902,0,
4327570,0,
4327993,0,
4328668,0,
4329453,0,
4329478,0,
4330084,0,
4354806,,7.95
4354808,,7.27
4357468,,3.49
960720,,4.24
780655,,3.49
