sku,quantity,price
1043236,,10.02
1206546,,6.10
1907467,,3.49
2223624,,3.49
3083138,0,
3181269,0,
3283895,0,
3285871,0,
3288432,0,
3290316,0,
3298745,0,
3306887,0,
3310077,0,
3311725,0,
3312157,0,
3316252,0,
3321704,0,
3323961,0,
3324229,0,
3326366,0,
3336869,0,
3337600,0,
3342607,0,
3352170,0,
3597270,,3.97
4098138,,5.35
4099211,,3.49
4286385,,3.49
4286457,,3.90
4330792,,80.42
4331627,,7.40
4332200,,7.78
4333869,,4.23
4372095,,3.51
4375783,,4.24
793316,,6.14
916272,,16.02
918447,,9.42
920637,,4.07
935607,,16.11
