sku,quantity,price
1152810,,11.24
1310882,2,
1317734,,10.97
1680196,,3.59
1793910,6,
2151518,,9.82
2231035,1,
3120250,,3.89
3168829,,5.39
3615916,3,
3617863,1,
3618637,6,
3702535,3,
4062008,,7.09
4129536,,6.69
4280617,,8.98
4291859,,4.23
4307756,0,
4307847,0,
4308487,0,
4310793,0,
4311692,0,
4311933,0,
4312244,0,
4315208,0,
4316039,0,
4316487,0,
4316728,0,
4317420,0,
4317518,0,
4318347,0,
4318414,0,
4318593,0,
4318796,0,
4319335,0,
4319354,0,
4319432,0,
4337554,,7.28
4367101,,6.83
4367950,,11.25
