sku,quantity,price
1293215,,10.79
1694249,,4.06
2150664,,43.26
2593485,,3.91
2634713,0,
3096444,0,
3145799,,22.29
3474100,,10.85
3682819,,3.85
3753329,,7.34
3961545,,3.61
3984530,0,
4066470,,12.04
4073290,,7.62
4161702,,53.11
4201281,,61.17
4204696,,8.27
4236305,0,
4244515,,7.42
4252411,0,
4255999,0,
4262996,0,
4267791,0,
4290484,0,
4295104,0,
4295401,,3.97
4302372,0,
4302601,0,
4309224,0,
4310893,,9.44
4334420,0,
4338910,,6.71
4346044,0,
4349684,0,
4350806,0,
4357499,0,
4357652,,27.21
695291,0,
641631,0,
759969,,3.65
