sku,quantity,price
1045677,3,
1093729,23,3.49
1945539,2,3.49
2499490,4,
2663344,0,
2670926,0,
2682751,0,
2686590,0,
2700181,0,
2717338,0,
2719254,0,
2727966,0,
2763771,0,
2765479,0,
2781626,0,
2795469,0,
2800063,0,
2813045,0,
2814460,2,4.11
2816156,0,
2826450,0,
2832087,0,
2838150,0,
2858875,0,
2859848,0,
3105779,,5.84
3448262,,3.81
3786033,,21.35
3992571,,3.66
4023277,,15.26
4049380,,4.24
4295429,,10.30
4296555,,14.76
4303297,,6.93
4319848,3,4.24
4321265,,11.20
4347704,2,
4353094,,4.83
960853,1,3.70
813414,3,3.49
