sku,quantity,price
1144069,,5.33
1893005,,4.90
2970879,0,
3035215,0,
3036223,0,
3064734,0,
3075573,0,
3076909,0,
3078160,0,
3080451,0,
3101136,0,
3102482,0,
3105861,0,
3106025,0,
3124437,0,
3134703,0,
3138025,0,
3265688,,7.00
3289964,,23.60
3326366,0,
3338109,0,
3457490,0,
3616074,0,
3621823,0,
3773329,,10.85
3893095,,3.59
3999666,,7.47
4000119,,11.45
4001694,,3.82
4097351,,4.80
4112051,,11.12
4201913,,4.79
4267122,,8.39
4315472,,4.85
4358411,,7.96
4359347,,3.49
4360464,,11.48
4360645,,6.39
4361139,,8.08
831899,,4.93
