sku,quantity,price
1005948,,4.23
1040661,0,
1044942,0,
1046629,0,
1048168,0,
1048490,0,
1055093,0,
1056529,0,
1058329,0,
1058804,0,
1058987,0,
1059723,0,
1060855,0,
1060920,0,
1061807,0,
1065911,0,
1066526,0,
1066737,0,
1069898,0,
1071801,0,
1074100,0,
1198162,4,
2015258,,3.49
2194834,2,
2265030,3,
2267132,,4.24
2705921,,7.92
2708884,,3.49
3328547,,3.68
3642950,3,
3653506,,3.87
3722348,1,
3901762,,3.66
4133490,,169.99
4136723,,3.65
4281695,,6.47
4366756,,5.51
4366819,,6.35
4367773,,41.03
4370954,,20.89
