sku,quantity,price
1129799,,10.18
1189399,,3.60
1207939,,9.82
1356657,,3.80
1516483,,24.71
2107075,,11.48
2388816,,3.99
3368675,,3.94
3862003,,9.90
3991410,,5.94
4122150,,4.02
4253502,,7.31
4334212,,6.91
4336656,,6.47
4355228,,169.99
4378568,,5.01
4384799,,7.28
4388438,,5.97
4388870,,9.53
744671,0,
755831,0,
782857,0,
786047,0,
792954,0,
795391,0,
797016,0,
812690,0,
814904,0,
820581,,3.57
828168,0,
828624,0,
831034,0,
831389,0,
848729,0,
874786,0,
885180,0,
901140,0,
901833,0,
902930,0,
904446,0,
