sku,quantity,price
1060266,,4.20
1469280,,3.97
1530655,0,
1703906,0,
1797737,0,
1829390,0,
1943299,0,
2048538,0,
2400169,0,
2595496,0,
2789610,,11.48
2828303,,5.81
2879896,,4.19
3061081,0,
3169983,0,
3191590,0,
3634970,,5.24
3725343,,4.23
3728740,,16.49
3878686,,7.88
4285934,,27.86
4329502,0,
4329551,0,
4338183,0,
4351370,0,
4351533,0,
4354011,,15.27
4355033,,6.09
4357544,,3.49
4357629,0,
4357735,,5.21
4359417,,3.69
686837,0,
695937,0,
794200,,3.49
799292,,3.95
802517,,9.66
805562,,3.49
807956,,4.08
900901,0,
