sku,quantity,price
1068211,,3.78
1210654,,26.97
2188066,0,
2188868,0,
2188961,0,
2189346,0,
2191065,0,
2191366,0,
2191740,0,
2192580,0,
2194853,0,
2197060,0,
2197917,0,
2198213,0,
2199065,0,
2199704,0,
2201102,0,
2201663,0,
2201815,0,
2202152,0,
2203370,0,
2204292,0,
2889972,,8.38
3204005,,7.44
3363647,,28.88
3402804,,17.31
3633701,,9.82
3668875,,6.55
3677328,,10.85
3860540,,9.78
3860606,,6.48
4143312,,25.05
4220601,,5.65
4222220,,18.95
4226593,,18.50
4227329,,3.62
4263494,,10.00
4269667,,10.14
4307401,,6.23
4347189,,8.59
