sku,quantity,price
1426243,,3.82
1700955,,16.93
1895768,,13.78
1908461,2,3.49
2401293,0,
2412170,0,
2489562,0,
2572599,0,
2602641,,4.11
2645458,0,
2655717,0,
2675453,0,
2686676,0,
2709524,0,
2714808,0,
2727008,0,
2737009,0,
2824888,,12.19
2887517,0,
3098760,,39.02
3258998,,10.58
3310517,0,
3311725,0,
3332550,0,
3333209,0,
3334166,0,
3336869,0,
3341222,0,
3537193,,9.18
4043705,,4.89
4303958,,10.36
4312483,,12.02
4326779,,12.76
4377960,,3.49
4378448,,7.45
711250,,3.65
816062,3,4.20
839124,,7.21
895355,,3.49
898119,,36.05
