sku,quantity,price
1317794,,17.58
1404275,2,
1554582,,11.55
1685563,,4.08
1690962,,21.11
2112079,,4.23
2372004,,8.34
3226029,,12.89
3673924,,11.38
3764649,,10.17
4200704,,4.23
4264975,0,
4266321,0,
4266892,0,
4266929,0,
4269340,0,
4272208,0,
4272401,0,
4274442,0,
4275151,0,
4275207,0,
4275786,0,
4276464,0,
4276517,0,
4276519,0,
4276618,0,
4276862,0,
4276937,0,
4276976,0,
4278465,0,
4279700,0,
4293726,,7.49
4303465,,5.64
4327381,,6.76
4328760,,3.77
4331026,,6.20
4335221,,37.09
4367905,,7.26
4394144,,3.61
939876,,5.84
