sku,quantity,price
1004545,,5.02
1020280,0,
1024846,0,
1027466,0,
1336902,,24.40
1372879,,71.92
1512112,0,
1996384,,9.33
2032434,,4.17
2035078,,5.94
2173755,0,
2378047,,10.11
2429304,0,
2558616,0,
2911565,0,
3059968,0,
3309943,,4.24
3549484,0,
3600388,,3.69
3607159,0,
3648055,0,
3682182,0,
3788861,,7.06
3791804,,7.23
3794234,,3.83
3803908,0,
3815465,,12.76
3912153,0,
3994420,0,
4167425,0,
4207250,,9.46
4213467,0,
4290699,,3.66
4290854,,7.04
4292040,,6.33
4292901,,3.49
4296919,,7.98
4297025,,8.55
4335189,0,
941894,0,
