sku,quantity,price
1184526,,5.46
1527925,,42.91
1842861,,9.32
1906297,,9.53
1974282,0,
1977097,0,
1978094,0,
1997943,0,
1998899,0,
2000981,0,
2019430,0,
2032301,0,
2034243,0,
2034429,0,
2036767,0,
2045932,0,
2054830,0,
2056303,0,
2059261,0,
2068596,0,
2070655,0,
2071669,0,
2071839,0,
2076890,0,
3155806,,3.87
3336573,,8.48
3666585,,11.27
3700488,,14.82
3802391,,3.63
3832296,,5.43
3973395,,22.35
4024891,,22.24
4100819,,87.80
4145368,,5.57
4318620,,3.71
4350242,,42.76
4361122,,5.61
4374989,,6.58
725308,,9.45
933750,,12.14
