sku,quantity,price
1101696,,9.25
1428817,,10.15
1540781,,5.66
2122547,,3.66
2383023,3,
2406251,0,
2421477,0,
2432918,0,
2433403,0,
2437330,0,
2460721,0,
2819438,,16.71
3280270,,5.41
3461722,0,
3547482,0,
3564088,0,
3583872,0,
3617805,0,
3629348,0,
3634999,0,
3645207,0,
3782362,0,
3795853,,4.03
3799943,0,
3853146,0,
3984679,,5.91
4000583,,4.80
4120500,,9.66
4226608,,80.69
4258326,,62.70
4291090,,6.13
4294943,,10.95
4318933,,12.57
4336148,,6.36
4358381,,4.15
678675,3,
692548,0,
731587,0,
790150,0,
921306,,8.23
