sku,quantity,price
1340201,,7.74
1376721,,4.23
1378392,,5.90
2216095,,3.49
2356502,,4.24
2686590,,3.80
2715069,,8.65
3355036,,10.75
3381704,,4.23
3629645,0,
3633208,0,
3639099,0,
3665427,0,
3698257,0,
3713977,0,
3715191,0,
3715922,0,
3717461,0,
3730580,0,
3733207,,8.17
3759417,0,
3842237,0,
3904099,0,
4050807,,5.92
4064173,,9.34
4064204,,64.69
4117489,0,
4208510,,10.37
4212093,,9.35
4285832,,27.41
4291852,,9.30
4292445,,7.75
4317359,0,
4321953,0,
4328778,0,
4355996,,4.24
4356960,,3.82
984653,0,
801539,0,
830463,0,
