sku,quantity,price
1251042,,3.49
1572995,0,
2172956,,19.67
2173505,0,
2214685,0,
2216968,0,
2237343,0,
2398334,0,
2408544,0,
2423879,,4.07
2870185,0,
2910274,0,
3116767,0,
3243022,,5.42
3263629,,64.45
3277350,0,
3537614,,5.79
3633026,,3.83
3753554,,23.92
3964218,0,
4119252,,5.31
4154229,0,
4171488,,4.87
4244085,,8.94
4304473,,4.23
4317516,,6.80
4320946,,10.40
4330985,0,
4334497,0,
4337995,,6.32
4338057,,5.71
4346702,0,
4346800,0,
685253,,5.91
658015,,53.37
724072,,6.19
751669,0,
806289,0,
826224,,5.03
944007,0,
