sku,quantity,price
1023357,,11.03
1250616,,6.09
1309311,,4.09
1750635,0,
2110171,0,
2142504,,11.62
2144352,0,
2198970,0,
2338105,0,
2379191,,9.65
2474665,0,
2585881,,15.51
2696843,,19.35
3459351,0,
3462869,,5.94
3592230,0,
3599466,0,
3634861,0,
3654582,,49.56
3852979,0,
3884000,,5.84
3885008,,4.12
3937950,0,
3985200,0,
4026213,0,
4034637,,4.84
4101004,0,
4124772,0,
4226098,,3.52
4292889,,5.07
4292910,0,
4329899,0,
4346555,0,
4355291,,9.09
4356499,,3.97
4356929,,13.57
974192,,3.59
697698,,4.24
711134,0,
784371,,4.24
