sku,quantity,price
1103218,,3.49
1131356,1,
1133783,,16.53
1151826,,15.40
1372439,,3.49
2375366,,39.98
2401437,,6.99
2428008,,5.83
2507932,,4.24
3491214,2,
3502860,1,
3578198,0,
3588330,0,
3591665,0,
3595852,0,
3773640,,3.80
3843468,0,
3850100,0,
3855676,0,
3864862,0,
3866412,0,
3871415,0,
3877104,0,
3882240,0,
3883694,0,
3887301,0,
3888493,0,
3891448,0,
3905084,0,
3909670,0,
3914984,0,
3915319,0,
3971605,,3.49
4216200,,8.10
4239173,,6.63
4336470,,3.49
4379811,,4.23
4389069,,9.59
794019,,3.49
884983,,3.49
