sku,quantity,price
1196286,0,
1197403,0,
1198437,0,
1199956,0,
1201328,0,
1202205,0,
1202556,0,
1203811,0,
1224807,0,
1235064,0,
1239329,0,
1248098,,3.49
1261297,0,
1261600,0,
1269969,0,
1272294,0,
1276166,0,
1283385,0,
1284785,0,
1290307,0,
1290851,0,
1298508,,4.06
1335313,,3.49
1490646,,4.24
2090729,3,
2254448,,4.24
2681917,,3.75
3220748,,3.49
3480329,,3.56
3551071,,3.49
3554693,2,
3723062,,3.58
3940252,,4.24
4143829,,7.73
4214467,,29.95
4238548,,3.49
4364245,,7.02
4371847,,7.24
975628,3,
932393,,10.68
