sku,quantity,price
1024753,,13.35
1027870,,5.58
2241421,,4.23
2310362,0,
2312553,0,
2313056,0,
2318202,0,
2318255,0,
2318408,0,
2320517,0,
2321141,0,
2323010,0,
2323980,,46.16
2324368,0,
2324530,0,
2324720,0,
2325039,,3.54
2325312,0,
2327100,0,
2332312,0,
2334588,0,
2335651,0,
2336829,0,
2339494,0,
2340274,0,
2464485,,4.77
2761894,,4.05
3658651,,54.13
3733003,,10.36
3786463,,9.65
3884100,,9.80
3897085,,5.43
3908217,,3.63
4003720,,3.93
4125262,,167.60
4217560,,10.23
4261095,,11.18
4318526,,9.19
876502,,8.30
903782,,6.36
