sku,quantity,price
1210613,,21.34
1328734,,5.46
1758643,0,
1817367,0,
1840948,0,
1844098,,3.63
1855117,0,
1861509,0,
1875910,,24.84
1887203,0,
1917414,0,
1931048,0,
1935657,0,
1949322,0,
2007506,,4.12
2010207,,3.83
2152546,0,
2161880,0,
2177551,0,
2181901,0,
2184995,0,
2191480,0,
2193041,0,
2194057,0,
2194248,0,
2222147,0,
2408370,,18.23
3412518,,18.78
3557187,,4.16
3714604,,9.33
3877018,,8.32
3978292,,4.83
4120454,,7.19
4180752,,7.44
4261545,,96.92
4266498,,11.13
4356238,,11.94
4378343,,8.92
4379725,,5.79
691522,,8.24
