sku,quantity,price
1095759,,4.24
1520777,,86.08
1620831,,3.49
1945907,,6.49
2065423,,7.40
2144173,5,
2390859,0,
2391320,0,
2392109,0,
2393937,0,
2397150,0,
2401268,0,
2401588,0,
2402448,0,
2403052,0,
2403549,0,
2404168,,6.62
2404221,0,
2408732,0,
2410940,0,
2416545,0,
2434020,6,
2473241,0,
2473323,0,
2476590,0,
2477825,0,
2478170,0,
2481385,0,
2484417,3,
3376898,,16.73
3667671,3,
3956866,,9.62
4048195,5,
4134352,,5.02
4147690,,3.78
4150530,,7.67
4373752,,109.57
739626,,6.43
769518,,3.82
816996,,3.49
