sku,quantity,price
1242602,,3.66
1692856,,4.94
2152942,,26.44
2399615,,11.14
2459152,,4.14
2538011,,23.46
3090573,,79.10
3393160,,7.84
3683142,,4.17
3749178,,6.40
3766147,,5.39
3893868,,45.16
3982901,,5.36
4108999,,143.28
4253277,,3.66
4263219,,5.92
4288149,,13.05
4365955,0,
4366143,0,
4366486,0,
4366885,0,
4367348,0,
4367887,0,
4368232,0,
4368309,0,
4368523,0,
4369085,0,
4369105,0,
4369361,0,
4369867,0,
4370165,0,
4370179,0,
4370340,0,
4371091,0,
4371405,0,
4372141,0,
4372537,0,
4379214,,3.49
739382,,23.24
925951,,66.49
