sku,quantity,price
1356098,,4.23
2154765,0,
2696477,,7.04
3167345,,15.46
3188925,,4.21
3195346,,4.24
3472410,0,
3546638,0,
3610715,0,
3619352,,9.72
3620349,,3.49
3749878,,7.34
3753518,,4.79
3811911,0,
3846666,,4.16
3951716,,3.58
3958858,,95.71
4074825,,15.73
4166178,,9.39
4174232,,9.73
4333001,,3.49
4333979,,6.29
4335513,,4.23
4345515,0,
4345913,0,
4349497,0,
4350714,0,
4350874,0,
4350911,0,
4350990,0,
4352270,0,
4353733,0,
4354972,0,
4356061,0,
4356121,0,
4356376,0,
4356701,0,
4356726,0,
686958,,3.49
883081,,7.69
