sku,quantity,price
1157512,,3.49
1395151,,9.09
1484191,,3.51
1991725,,3.49
2278750,,3.49
2313869,1,
2451736,,5.75
2969455,,4.24
3027011,,3.95
3417307,,3.81
3768256,,13.74
4078628,,3.81
4185561,,3.63
4240689,,4.24
4267805,0,
4271861,0,
4274784,0,
4278983,0,
4294456,0,
4297506,0,
4298178,0,
4303506,,6.66
4305934,,3.70
4307356,,19.88
4308433,0,
4309795,0,
4314507,0,
4318997,0,
4320466,0,
4322250,0,
4327060,0,
4328844,0,
4329611,0,
4332281,0,
4337323,0,
4337438,0,
4342526,0,
963466,,4.17
769231,1,
909590,,3.49
