sku,quantity,price
1000319,0,
1005984,0,
1008358,,5.01
1010514,0,
1014410,0,
1018299,0,
1018890,0,
1021023,0,
1023235,0,
1033865,0,
1039524,0,
1041350,0,
1045067,0,
1048773,0,
1081525,0,
1104005,,3.49
1988070,,3.60
2245765,,4.05
2696518,,4.06
3376695,,23.53
3391229,,9.01
3405559,,10.29
3558712,,4.22
3610671,,8.05
3627037,,3.65
3774610,,37.95
3827891,,3.64
3890664,,41.00
3896042,,3.71
4139187,,20.22
4246531,0,
4248243,0,
4257792,0,
4259573,0,
4270454,0,
4286960,0,
4297605,,14.86
4318806,,23.52
4337166,,6.84
952204,,3.61
