sku,quantity,price
1127015,,4.08
1449057,,4.23
1618528,,14.96
3045115,,8.78
3170868,,12.55
3183593,,4.01
4155935,,16.85
4171184,,9.89
4222422,,4.24
4227347,,22.18
4261502,,3.49
4283000,,83.76
4285885,,3.56
4291058,,40.09
4319081,,9.86
4327762,,15.78
4346743,,20.71
4346809,,106.53
4359567,0,
4359592,0,
4359620,0,
4359664,0,
4359677,0,
4359750,0,
4359765,0,
4359803,0,
4359812,0,
4359947,0,
4360010,0,
4360014,0,
4360104,0,
4360248,0,
4360318,0,
4360448,0,
4360494,0,
4360585,0,
4360819,0,
4361041,0,
4381380,,55.69
876814,,13.80
