sku,quantity,price
1198532,,22.98
1203520,,10.87
1409467,,8.99
2125998,,3.60
2238951,,3.84
2306925,2,
3072281,,37.22
3535692,,4.17
3622938,0,
3625056,0,
3626117,0,
3626486,0,
3626690,0,
3632060,0,
3633031,0,
3634676,0,
3638659,0,
3640109,0,
3640413,0,
3647413,0,
3647837,0,
3648987,0,
3651008,0,
3651082,0,
3659380,0,
3661653,0,
3665987,0,
3666656,0,
3680077,,14.20
3742565,,3.94
3745209,,3.83
3942275,,3.94
4060197,,9.37
4243648,,10.87
4244281,,3.81
4244515,,4.22
4248178,,11.03
4292160,,15.78
4375095,,6.85
950611,,4.06
