sku,quantity,price
1118363,,10.31
1410947,,4.19
1874333,,10.91
2251132,,4.24
2659601,,6.15
3133996,0,
3172109,0,
3299521,0,
3301911,0,
3395699,0,
3454249,0,
3505852,0,
3537165,0,
3656945,0,
3666028,,4.82
3667693,,8.19
3713193,0,
3715247,0,
3741863,,9.95
3778482,0,
3863721,,19.20
3867923,,3.63
3869819,,3.83
3998061,,23.15
4041696,0,
4116677,0,
4125017,0,
4144909,,8.76
4187609,,4.86
4253015,,3.60
4311639,,6.36
4326212,,13.78
4326923,,18.64
4329561,,19.42
4363526,0,
957384,0,
634403,0,
728797,0,
910483,0,
932136,,5.77
