sku,quantity,price
1077429,0,
1153809,,5.18
1172993,0,
1227683,,6.48
2376845,0,
2437651,0,
2439205,0,
2572296,,5.96
2654892,0,
3113658,0,
3251714,0,
3262791,,3.66
3302275,0,
3346196,,14.61
3348536,,36.69
3350256,,6.09
3445209,0,
3554046,0,
3584130,0,
3624877,0,
3639034,0,
3644846,0,
4004432,,4.22
4015005,,9.89
4035335,,3.80
4055847,,6.09
4060510,,5.15
4158079,,6.14
4167925,,8.59
4187026,0,
4199467,0,
4282436,,89.48
4283139,,14.19
4290173,,5.55
4294555,0,
4324043,0,
4354885,,3.57
716830,,14.82
694794,,3.49
945018,0,
