sku,quantity,price
1292237,,3.51
2275748,2,
2309903,0,
2310193,0,
2312913,0,
2314451,0,
2319609,0,
2320877,0,
2328057,0,
2329329,0,
2337358,0,
2338561,0,
2340440,0,
2344845,0,
2354164,0,
2356832,0,
2360179,0,
2363515,0,
2369086,0,
2371195,0,
2374335,0,
2375184,0,
2480816,,3.92
2501301,,4.09
3220489,,4.21
3482919,,11.47
3548572,,16.82
3640509,4,
3723612,5,
3752875,4,
3814080,,5.05
3966888,2,
4014961,,6.65
4131807,,19.33
4153542,,5.43
4309868,,7.68
4347893,,12.39
4368149,,31.20
633170,,4.24
945419,,3.49
