sku,quantity,price
1030603,,5.50
1034536,,3.49
1682493,,4.19
2220998,,6.72
2523978,,4.11
3094083,,23.01
3468223,,12.18
3496938,,5.84
3524941,,3.49
3630595,,17.49
3710467,,13.14
4079245,,4.01
4214075,,87.57
4222469,,5.86
4290494,,80.48
4290921,,10.81
4305883,0,
4307364,0,
4308153,0,
4308477,0,
4308478,0,
4311387,0,
4316641,0,
4316964,0,
4317087,0,
4317447,0,
4317758,0,
4318386,0,
4318524,0,
4318901,0,
4319932,0,
4320353,0,
4320774,0,
4322007,0,
4322234,0,
4324023,0,
4356054,,20.08
4357839,,3.49
4364565,,11.20
4367736,,8.47
