sku,status,error
"656828","success",""
"673296","success",""
"749492","success",""
"807003","success",""
"841193","success",""
"878257","success",""
"891282","success",""
"1023379","success",""
"1024581","success",""
"1099472","success",""
"1125973","success",""
"1141207","success",""
"1208913","success",""
"640952","success",""
"672716","success",""
"683771","success",""
"731616","success",""
"750534","success",""
"774108","success",""
"818008","success",""
"843725","success",""
"877083","success",""
"923209","success",""
"1045356","success",""
"1080169","success",""
"1112964","success",""
"660590","success",""
"685747","success",""
"687845","success",""
"700434","success",""
"1045259","success",""
"1054593","success",""
"1221596","success",""
"1236168","success",""
"1366098","success",""
"1375859","success",""
"1401726","success",""
"1802345","success",""
"1825201","success",""
"696496","success",""
"976778","success",""
"1044321","success",""
"1203466","success",""
"1287974","success",""
"1299593","success",""
"1396658","success",""
"2085071","success",""
"2518339","success",""
"2613743","success",""
"2894841","success",""
"2925474","success",""
"3217020","success",""
"721304","success",""
"776889","success",""
"904923","success",""
"910987","success",""
"919373","success",""
"1021556","success",""
"1023673","success",""
"1098883","success",""
"1182107","success",""
"1287015","success",""
"1314859","success",""
"1373929","success",""
"1519922","success",""
"638660","success",""
"840373","success",""
"917964","success",""
"944082","success",""
"954665","success",""
"1028518","success",""
"1046720","success",""
"1201896","success",""
"1815079","success",""
"1894934","success",""
"1919792","success",""
"1942260","success",""
"1974834","success",""
"2118065","success",""
"645929","success",""
"665001","success",""
"681026","success",""
"689046","success",""
"746484","success",""
"794657","success",""
"832992","success",""
"870342","success",""
"918464","success",""
"937810","success",""
"1055513","success",""
"1057239","success",""
"1071014","success",""
"1881365","success",""
"2183761","success",""
"2403851","success",""
"2934225","success",""
"2990122","success",""
"3066283","success",""
"3107151","success",""
"3344656","success",""
"3403412","success",""
"3417510","success",""
"4373785","success",""
"4373786","success",""
"4373804","success",""
"4373811","success",""
"2700163","success",""
"3190063","success",""
"3207206","success",""
"3333663","success",""
"3336665","success",""
"3377734","success",""
"3496590","success",""
"3553042","success",""
"3559860","success",""
"3779985","success",""
"4373808","success",""
"4373810","success",""
"4373812","success",""
"4373829","success",""
"4373835","success",""
"1153999","success",""
"1296566","success",""
"1311993","success",""
"1790893","success",""
"1924399","success",""
"2010768","success",""
"2106311","success",""
"2396507","success",""
"2740513","success",""
"2896677","success",""
"3030243","success",""
"3236652","success",""
"3275843","success",""
"3374919","success",""
"1256751","success",""
"1781878","success",""
"2009806","success",""
"2200238","success",""
"2301230","success",""
"2503027","success",""
"2694340","success",""
"2996831","success",""
"3201477","success",""
"3237373","success",""
"3539228","success",""
"4048194","success",""
"4373781","success",""
"4373802","success",""
"2025911","success",""
"2100164","success",""
"2113350","success",""
"2441478","success",""
"2483433","success",""
"2494148","success",""
"2636613","success",""
"2654051","success",""
"2780767","success",""
"2885257","success",""
"2896325","success",""
"2902104","success",""
"2924578","success",""
"2969273","success",""
"1089373","success",""
"1198332","success",""
"1483000","success",""
"1508504","success",""
"1594929","success",""
"1641703","success",""
"1669903","success",""
"1763662","success",""
"1770513","success",""
"1863225","success",""
"1879435","success",""
"1893786","success",""
"1937029","success",""
"3275088","success",""
"3287312","success",""
"3365264","success",""
"3458604","success",""
"3662515","success",""
"3801700","success",""
"3980293","success",""
"4126878","success",""
"4209985","success",""
"4373775","success",""
"4373777","success",""
"4373792","success",""
"4373796","success",""
"4373806","success",""
"673593","success",""
"737336","success",""
"821062","success",""
"821310","success",""
"986986","success",""
"1169234","success",""
"1247466","success",""
"1276495","success",""
"1291995","success",""
"1352247","success",""
"1488859","success",""
"1551113","success",""
"1677075","success",""
"4373819","success",""
"4373820","success",""
"4373827","success",""
"4373834","success",""
"3413787","success",""
"3544098","success",""
"3914549","success",""
"4005455","success",""
"4373790","success",""
"4373795","success",""
"4373797","success",""
"4373803","success",""
"4373825","success",""
"4373831","success",""
"3120305","success",""
"3170669","success",""
"3282069","success",""
"3355207","success",""
"3415718","success",""
"3430905","success",""
"3475371","success",""
"3581490","success",""
"3711566","success",""
"4193424","success",""
"4373783","success",""
"4373789","success",""
"4373791","success",""
"4373800","success",""
"4373809","success",""
"4373814","success",""
"4373818","success",""
"4373826","success",""
"4373836","success",""
"1938996","success",""
"2197122","success",""
"2368393","success",""
"2511524","success",""
"2886811","success",""
"2899624","success",""
"3154282","success",""
"3284174","success",""
"3306149","success",""
"3327192","success",""
"3361275","success",""
"3486581","success",""
"3491722","success",""
"3515467","success",""
"1924189","success",""
"2137933","success",""
"2263963","success",""
"2300352","success",""
"2329898","success",""
"2448508","success",""
"2486864","success",""
"2620258","success",""
"2735722","success",""
"2818642","success",""
"2861176","success",""
"2879863","success",""
"3020959","success",""
"3143138","success",""
"3530726","success",""
"3650854","success",""
"3706212","success",""
"3788318","success",""
"3796559","success",""
"4373774","success",""
"4373778","success",""
"4373793","success",""
"4373794","success",""
"4373801","success",""
"4373813","success",""
"4373816","success",""
"4373817","success",""
"4373823","success",""
"4373833","success",""
"4373824","success",""
"4373828","success",""
"4373837","success",""
"3199241","success",""
"3237102","success",""
"3306422","success",""
"3307033","success",""
"3323190","success",""
"3336869","success",""
"3338791","success",""
"3372795","success",""
"3382929","success",""
"3469723","success",""
"3843866","success",""
"3874414","success",""
"4373805","success",""
"4373832","success",""
