sku,status,error
"633219","success",""
"633234","success",""
"633283","success",""
"633348","success",""
"633368","success",""
"633383","success",""
"633385","success",""
"633430","success",""
"633450","success",""
"633497","success",""
"633508","success",""
"633529","success",""
"633549","success",""
"633567","success",""
"633205","success",""
"633252","success",""
"633260","success",""
"633287","success",""
"633300","success",""
"633302","success",""
"633327","success",""
"633356","success",""
"633382","success",""
"633401","success",""
"633404","success",""
"633413","success",""
"633414","success",""
"633480","success",""
"633227","success",""
"633230","success",""
"633253","success",""
"633257","success",""
"633268","success",""
"633296","success",""
"633308","success",""
"633374","success",""
"633375","success",""
"633379","success",""
"633384","success",""
"633389","success",""
"633393","success",""
"633188","success",""
"633210","success",""
"633226","success",""
"633240","success",""
"633365","success",""
"633418","success",""
"633449","success",""
"633467","success",""
"633473","success",""
"633479","success",""
"633489","success",""
"633493","success",""
"633495","success",""
"633533","success",""
"633167","success",""
"633170","success",""
"633193","success",""
"633242","success",""
"633272","success",""
"633317","success",""
"633322","success",""
"633481","success",""
"633499","success",""
"633538","success",""
"633554","success",""
"633568","success",""
"633573","success",""
"633587","success",""
"633178","success",""
"633215","success",""
"633245","success",""
"633250","success",""
"633258","success",""
"633274","success",""
"633281","success",""
"633297","success",""
"633324","success",""
"633330","success",""
"633415","success",""
"633419","success",""
"633428","success",""
"633431","success",""
"633183","success",""
"633185","success",""
"633190","success",""
"633200","success",""
"633213","success",""
"633229","success",""
"633248","success",""
"633265","success",""
"633280","success",""
"633285","success",""
"633347","success",""
"633354","success",""
"633369","success",""
"633388","success",""
"633547","success",""
"633548","success",""
"633643","success",""
"633697","success",""
"633714","success",""
"633738","success",""
"633747","success",""
"633798","success",""
"633805","success",""
"633818","success",""
"633822","success",""
"633825","success",""
"633977","success",""
"633556","success",""
"633564","success",""
"633598","success",""
"633601","success",""
"633610","success",""
"633613","success",""
"633642","success",""
"633692","success",""
"633709","success",""
"633785","success",""
"633839","success",""
"633865","success",""
"633868","success",""
"633878","success",""
"633422","success",""
"633527","success",""
"633532","success",""
"633630","success",""
"633639","success",""
"633685","success",""
"633711","success",""
"633715","success",""
"633719","success",""
"633771","success",""
"633783","success",""
"633789","success",""
"633800","success",""
"633824","success",""
"633574","success",""
"633576","success",""
"633604","success",""
"633626","success",""
"633637","success",""
"633652","success",""
"633663","success",""
"633698","success",""
"633708","success",""
"633730","success",""
"633765","success",""
"633767","success",""
"633772","success",""
"633786","success",""
"633432","success",""
"633444","success",""
"633462","success",""
"633475","success",""
"633488","success",""
"633526","success",""
"633535","success",""
"633545","success",""
"633583","success",""
"633607","success",""
"633617","success",""
"633636","success",""
"633640","success",""
"633616","success",""
"633633","success",""
"633675","success",""
"633677","success",""
"633689","success",""
"633699","success",""
"633734","success",""
"633752","success",""
"633758","success",""
"633784","success",""
"633787","success",""
"633814","success",""
"633857","success",""
"633888","success",""
"633411","success",""
"633427","success",""
"633460","success",""
"633464","success",""
"633471","success",""
"633507","success",""
"633513","success",""
"633542","success",""
"633544","success",""
"633559","success",""
"633609","success",""
"633618","success",""
"633635","success",""
"633649","success",""
"634041","success",""
"634070","success",""
"634094","success",""
"634102","success",""
"634180","success",""
"634213","success",""
"634216","success",""
"634226","success",""
"634242","success",""
"634257","success",""
"634286","success",""
"634292","success",""
"634318","success",""
"634321","success",""
"633898","success",""
"633914","success",""
"633943","success",""
"633946","success",""
"633958","success",""
"633967","success",""
"633981","success",""
"634008","success",""
"634030","success",""
"634045","success",""
"634055","success",""
"634074","success",""
"634129","success",""
"633189","success",""
"633196","success",""
"633204","success",""
"633239","success",""
"633243","success",""
"633299","success",""
"633307","success",""
"633335","success",""
"633340","success",""
"633377","success",""
"633441","success",""
"633477","success",""
"633506","success",""
"633827","success",""
"633831","success",""
"633846","success",""
"633851","success",""
"633876","success",""
"633922","success",""
"633930","success",""
"633947","success",""
"633949","success",""
"633950","success",""
"633964","success",""
"634005","success",""
"634013","success",""
"634021","success",""
"633793","success",""
"633905","success",""
"633925","success",""
"634044","success",""
"634053","success",""
"634056","success",""
"634060","success",""
"634061","success",""
"634080","success",""
"634098","success",""
"634101","success",""
"634104","success",""
"634119","success",""
"634120","success",""
"633660","success",""
"633680","success",""
"633682","success",""
"633707","success",""
"633717","success",""
"633736","success",""
"633750","success",""
"633770","success",""
"633797","success",""
"633821","success",""
"633889","success",""
"633900","success",""
"633907","success",""
"633890","success",""
"633913","success",""
"633924","success",""
"633926","success",""
"633992","success",""
"634037","success",""
"634057","success",""
"634064","success",""
"634116","success",""
"634128","success",""
"634137","success",""
"634157","success",""
"634165","success",""
"634338","success",""
"634370","success",""
"634412","success",""
"634423","success",""
"634427","success",""
"634429","success",""
"634433","success",""
"634466","success",""
"634556","success",""
"634599","success",""
"634614","success",""
"634636","success",""
"634670","success",""
"633935","success",""
"633942","success",""
"633951","success",""
"633976","success",""
"633997","success",""
"634026","success",""
"634091","success",""
"634108","success",""
"634194","success",""
"634214","success",""
"634252","success",""
"634281","success",""
"634342","success",""
"634369","success",""
"634199","success",""
"634203","success",""
"634206","success",""
"634232","success",""
"634238","success",""
"634263","success",""
"634289","success",""
"634290","success",""
"634303","success",""
"634329","success",""
"634340","success",""
"634364","success",""
"634372","success",""
"634175","success",""
"634185","success",""
"634192","success",""
"634262","success",""
"634279","success",""
"634283","success",""
"634312","success",""
"634330","success",""
"634352","success",""
"634379","success",""
"634426","success",""
"634432","success",""
"634453","success",""
"634133","success",""
"634140","success",""
"634152","success",""
"634161","success",""
"634167","success",""
"634182","success",""
"634205","success",""
"634234","success",""
"634255","success",""
"634285","success",""
"634313","success",""
"634319","success",""
"634325","success",""
"633510","success",""
"633546","success",""
"633563","success",""
"633569","success",""
"633582","success",""
"633590","success",""
"633593","success",""
"633703","success",""
"633705","success",""
"633712","success",""
"633735","success",""
"633756","success",""
"633810","success",""
"634375","success",""
"634404","success",""
"634441","success",""
"634444","success",""
"634445","success",""
"634463","success",""
"634485","success",""
"634512","success",""
"634534","success",""
"634541","success",""
"634561","success",""
"634674","success",""
"634699","success",""
"634720","success",""
"634689","success",""
"634868","success",""
"634908","success",""
"634909","success",""
"634915","success",""
"634924","success",""
"634936","success",""
"634945","success",""
"634976","success",""
"634999","success",""
"635020","success",""
"635025","success",""
"635100","success",""
"635136","success",""
"634470","success",""
"634486","success",""
"634527","success",""
"634529","success",""
"634536","success",""
"634551","success",""
"634560","success",""
"634576","success",""
"634578","success",""
"634594","success",""
"634664","success",""
"634672","success",""
"634685","success",""
"634384","success",""
"634422","success",""
"634446","success",""
"634503","success",""
"634589","success",""
"634596","success",""
"634609","success",""
"634715","success",""
"634726","success",""
"634746","success",""
"634747","success",""
"634752","success",""
"634754","success",""
"634774","success",""
"634073","success",""
"634079","success",""
"634092","success",""
"634100","success",""
"634123","success",""
"634148","success",""
"634162","success",""
"634271","success",""
"634277","success",""
"634280","success",""
"634282","success",""
"634294","success",""
"634317","success",""
"634381","success",""
"634331","success",""
"634351","success",""
"634401","success",""
"634408","success",""
"634410","success",""
"634425","success",""
"634456","success",""
"634473","success",""
"634575","success",""
"634584","success",""
"634607","success",""
"634624","success",""
"634642","success",""
"634644","success",""
"635145","success",""
