sku,status,error
"650334","success",""
"655042","success",""
"659274","success",""
"701866","success",""
"742981","success",""
"836327","success",""
"1002474","success",""
"1087039","success",""
"1139147","success",""
"1150498","success",""
"1251365","success",""
"1588128","success",""
"1636629","success",""
"1898739","success",""
"1956477","success",""
"2149786","success",""
"2159246","success",""
"2379577","success",""
"2396498","success",""
"2401745","success",""
"2414220","success",""
"2682507","success",""
"2887520","success",""
"3152379","success",""
"3304621","success",""
"3307391","success",""
"4373699","success",""
"4373700","success",""
"4373701","success",""
"4373702","success",""
"4373703","success",""
"4373704","success",""
"4373705","success",""
"4373706","success",""
