sku,status,error
"676674","success",""
"788561","success",""
"825937","success",""
"877780","success",""
"889280","success",""
"912777","success",""
"987357","success",""
"1120224","success",""
"1671074","success",""
"2096146","success",""
"2168571","success",""
"2176174","success",""
"2459814","success",""
"812615","success",""
"864978","success",""
"958266","success",""
"1052292","success",""
"1284494","success",""
"2154024","success",""
"2170947","success",""
"2195002","success",""
"2223772","success",""
"2485962","success",""
"2540743","success",""
"3047417","success",""
"3172372","success",""
"732445","success",""
"762821","success",""
"813649","success",""
"951041","success",""
"981002","success",""
"1059552","success",""
"1421122","success",""
"1743610","success",""
"2075184","success",""
"2225336","success",""
"2271539","success",""
"2318095","success",""
"2692208","success",""
"636344","success",""
"649008","success",""
"734594","success",""
"754488","success",""
"794780","success",""
"1005108","success",""
"1021789","success",""
"2107448","success",""
"2411644","success",""
"2491857","success",""
"3278651","success",""
"3344811","success",""
"3403169","success",""
"668341","success",""
"736347","success",""
"927419","success",""
"1020903","success",""
"1042226","success",""
"1061374","success",""
"1073449","success",""
"1078797","success",""
"1088865","success",""
"1107238","success",""
"1741868","success",""
"2049831","success",""
"3353704","success",""
"3903858","success",""
"639918","success",""
"1068122","success",""
"1299648","success",""
"1615524","success",""
"2247719","success",""
"2260086","success",""
"2907460","success",""
"3069517","success",""
"3141420","success",""
"3381585","success",""
"3386765","success",""
"3447731","success",""
"3528946","success",""
"3627405","success",""
"666564","success",""
"677154","success",""
"693636","success",""
"755269","success",""
"786484","success",""
"1066772","success",""
"1083257","success",""
"1103974","success",""
"1201451","success",""
"1274593","success",""
"1308880","success",""
"1456524","success",""
"1469555","success",""
"1589552","success",""
"905473","success",""
"944198","success",""
"1133286","success",""
"1145398","success",""
"2238870","success",""
"2877214","success",""
"3381077","success",""
"3522273","success",""
"3700227","success",""
"3705915","success",""
"4044285","success",""
"4049115","success",""
"4309192","success",""
"4361920","success",""
"3289712","success",""
"3484666","success",""
"4211466","success",""
"4244824","success",""
"4361915","success",""
"4361937","success",""
"4361943","success",""
"4361955","success",""
"2579268","success",""
"3165658","success",""
"3335884","success",""
"3353924","success",""
"3461983","success",""
"3539451","success",""
"3587588","success",""
"3925683","success",""
"3984991","success",""
"4011172","success",""
"4361912","success",""
"4361921","success",""
"4361927","success",""
"4361934","success",""
"4361944","success",""
"4361969","success",""
"3714709","success",""
"3981644","success",""
"3983810","success",""
"4361929","success",""
"4361931","success",""
"2702212","success",""
"2758859","success",""
"3045299","success",""
"3602777","success",""
"3603836","success",""
"3630631","success",""
"3796681","success",""
"4195460","success",""
"4361910","success",""
"4361919","success",""
"4361925","success",""
"4361947","success",""
"4361973","success",""
"1626899","success",""
"1684352","success",""
"1942115","success",""
"2215035","success",""
"2412374","success",""
"2429897","success",""
"2479058","success",""
"2540531","success",""
"3096444","success",""
"3179652","success",""
"3470747","success",""
"3677934","success",""
"3936793","success",""
"4079900","success",""
"4361922","success",""
"4361924","success",""
"4361928","success",""
"4361938","success",""
"4361946","success",""
"4361958","success",""
"4361965","success",""
"4361966","success",""
"4361967","success",""
"3429550","success",""
"3432975","success",""
"3983719","success",""
"4041740","success",""
"4182883","success",""
"4361914","success",""
"4361954","success",""
"4361976","success",""
"4199306","success",""
"4361932","success",""
"4361935","success",""
"4361959","success",""
"4361972","success",""
"4361979","success",""
"3975111","success",""
"4032004","success",""
"4036413","success",""
"4189136","success",""
"4268660","success",""
"4292837","success",""
"4361911","success",""
"4361916","success",""
"4361917","success",""
"4361930","success",""
"4361951","success",""
"4361980","success",""
